title,genres,clean_title
Talk to Her (Hable con Ella) (2002),Drama Romance,Talk to Her (Hable con Ella)
Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002),Animation Comedy Musical,Eight Crazy Nights (Adam Sandler's Eight Crazy Nights)
Extreme Ops (2002),Action Adventure Crime Thriller,Extreme Ops
Solaris (2002),Drama Romance Sci-Fi,Solaris
Treasure Planet (2002),Adventure Animation Children Sci-Fi IMAX,Treasure Planet
They (2002),Horror Thriller,They
Chopper Chicks in Zombietown (1989),Comedy Horror,Chopper Chicks in Zombietown
Brother (Brat) (1997),Crime Drama,Brother (Brat)
"Cruel Romance, A (Zhestokij Romans) (1984)",Drama Romance,"Cruel Romance, A (Zhestokij Romans)"
Elling (2001),Comedy Drama,Elling
I Spit on Your Grave (Day of the Woman) (1978),Horror Thriller,I Spit on Your Grave (Day of the Woman)
"Last Seduction, The (1994)",Crime Drama Thriller,"Last Seduction, The"
New Waterford Girl (1999),Comedy,New Waterford Girl
Zulu (1964),Action Drama War,Zulu
Analyze That (2002),Comedy Crime,Analyze That
Empire (2002),Crime Drama,Empire
Adaptation (2002),Comedy Drama Romance,Adaptation
Equilibrium (2002),Action Sci-Fi Thriller,Equilibrium
Visitor Q (Bizita Q) (2001),Comedy Drama Horror,Visitor Q (Bizita Q)
Hit the Bank (Vabank) (1981),Comedy Crime,Hit the Bank (Vabank)
Victory (a.k.a. Escape to Victory) (1981),Action Drama War,Victory (a.k.a. Escape to Victory)
Android (1982),Sci-Fi,Android
Attila (Attila Flagello di Dio) (1982),Action,Attila (Attila Flagello di Dio)
"Beast Within, The (1982)",Horror,"Beast Within, The"
"Best Little Whorehouse in Texas, The (1982)",Comedy Drama Musical Romance,"Best Little Whorehouse in Texas, The"
"Party 2, The (Boum 2, La) (1982)",Comedy Romance,"Party 2, The (Boum 2, La)"
Burden of Dreams (1982),Documentary,Burden of Dreams
Deathtrap (1982),Comedy Crime Mystery Thriller,Deathtrap
Drumline (2002),Comedy Drama Musical Romance,Drumline
"Hot Chick, The (2002)",Comedy,"Hot Chick, The"
Maid in Manhattan (2002),Comedy Romance,Maid in Manhattan
Star Trek: Nemesis (2002),Action Drama Sci-Fi Thriller,Star Trek: Nemesis
About Schmidt (2002),Comedy Drama,About Schmidt
Evelyn (2002),Drama,Evelyn
Intact (Intacto) (2001),Thriller,Intact (Intacto)
Morvern Callar (2002),Drama,Morvern Callar
"Lord of the Rings: The Two Towers, The (2002)",Adventure Fantasy,"Lord of the Rings: The Two Towers, The"
Devils on the Doorstep (Guizi lai le) (2000),Drama War,Devils on the Doorstep (Guizi lai le)
25th Hour (2002),Crime Drama,25th Hour
Antwone Fisher (2002),Drama,Antwone Fisher
Gangs of New York (2002),Crime Drama,Gangs of New York
Two Weeks Notice (2002),Comedy Romance,Two Weeks Notice
Narc (2002),Crime Drama Thriller,Narc
Blue Steel (1990),Action Thriller,Blue Steel
Body of Evidence (1993),Drama Thriller,Body of Evidence
"Children's Hour, The (1961)",Drama,"Children's Hour, The"
"Duellists, The (1977)",Action War,"Duellists, The"
Miami Blues (1990),Comedy Crime Drama,Miami Blues
My Girl 2 (1994),Comedy Drama Romance,My Girl 2
My Girl (1991),Comedy Drama Romance,My Girl
My Neighbor Totoro (Tonari no Totoro) (1988),Animation Children Drama Fantasy,My Neighbor Totoro (Tonari no Totoro)
"Thief of Bagdad, The (1940)",Adventure Fantasy,"Thief of Bagdad, The"
War and Peace (1956),Drama Romance War,War and Peace
Attack of the Crab Monsters (1957),Horror Sci-Fi,Attack of the Crab Monsters
Black Christmas (1974),Horror Mystery Thriller,Black Christmas
"Story of O, The (Histoire d'O) (1975)",Drama Romance,"Story of O, The (Histoire d'O)"
Fat City (1972),Drama,Fat City
Quicksilver (1986),Drama,Quicksilver
Catch Me If You Can (2002),Crime Drama,Catch Me If You Can
Pinocchio (2002),Children Comedy Fantasy,Pinocchio
Chicago (2002),Comedy Crime Drama Musical,Chicago
"Hours, The (2002)",Drama Romance,"Hours, The"
Max (2002),Drama,Max
Nicholas Nickleby (2002),Drama Romance,Nicholas Nickleby
"Pianist, The (2002)",Drama War,"Pianist, The"
Heavy Metal 2000 (2000),Action Adventure Animation Fantasy Sci-Fi,Heavy Metal 2000
"King of Comedy, The (1983)",Comedy Drama,"King of Comedy, The"
Love Liza (2002),Drama,Love Liza
Confessions of a Dangerous Mind (2002),Comedy Crime Drama Thriller,Confessions of a Dangerous Mind
Blue Collar Comedy Tour: The Movie (2003),Comedy Documentary,Blue Collar Comedy Tour: The Movie
Just Married (2003),Comedy Romance,Just Married
"City of Lost Souls, The (Hyôryuu-gai) (2000)",Crime Drama Thriller,"City of Lost Souls, The (Hyôryuu-gai)"
"Guy Thing, A (2003)",Comedy Romance,"Guy Thing, A"
Kangaroo Jack (2003),Action Comedy,Kangaroo Jack
National Security (2003),Action Comedy,National Security
City of God (Cidade de Deus) (2002),Action Adventure Crime Drama Thriller,City of God (Cidade de Deus)
Alice Adams (1935),Comedy Drama,Alice Adams
"American Friend, The (Amerikanische Freund, Der) (1977)",Crime Drama Mystery Thriller,"American Friend, The (Amerikanische Freund, Der)"
American Me (1992),Drama,American Me
Band of Outsiders (Bande à part) (1964),Comedy Crime Drama Romance,Band of Outsiders (Bande à part)
CB4 - The Movie (1993),Comedy,CB4 - The Movie
Dogfight (1991),Drama Romance,Dogfight
Girls! Girls! Girls! (1962),Comedy Musical,Girls! Girls! Girls!
Imitation of Life (1959),Drama Romance,Imitation of Life
Mystery Date (1991),Comedy,Mystery Date
Pépé le Moko (1937),Crime Drama Romance,Pépé le Moko
Secret Admirer (1985),Comedy Romance,Secret Admirer
"Woman in Red, The (1984)",Comedy Romance,"Woman in Red, The"
Darkness Falls (2003),Horror Thriller,Darkness Falls
Amen. (2002),Drama,Amen.
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),Documentary,Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin)
Blind Date (1984),Horror Thriller,Blind Date
Ethan Frome (1993),Drama,Ethan Frome
"Harder They Come, The (1973)",Action Crime Drama,"Harder They Come, The"
Sugar Hill (1994),Drama,Sugar Hill
Biker Boyz (2003),Action Crime Drama,Biker Boyz
Final Destination 2 (2003),Horror Thriller,Final Destination 2
"Recruit, The (2003)",Action Thriller,"Recruit, The"
"Guru, The (2002)",Comedy Romance,"Guru, The"
Lost in La Mancha (2002),Documentary,Lost in La Mancha
May (2002),Drama Horror,May
"Harder They Fall, The (1956)",Drama Film-Noir,"Harder They Fall, The"
Ordinary Decent Criminal (2000),Comedy Crime,Ordinary Decent Criminal
Tokyo Decadence (Topâzu) (1992),Drama,Tokyo Decadence (Topâzu)
Firefox (1982),Action Sci-Fi Thriller,Firefox
"I, the Jury (1982)",Crime Drama Thriller,"I, the Jury"
Kiss Me Goodbye (1982),Comedy,Kiss Me Goodbye
"Last Unicorn, The (1982)",Animation Children Fantasy,"Last Unicorn, The"
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982),Action,Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye)
"Midsummer Night's Sex Comedy, A (1982)",Comedy Romance,"Midsummer Night's Sex Comedy, A"
Missing (1982),Drama Mystery Thriller,Missing
Monty Python Live at the Hollywood Bowl (1982),Comedy,Monty Python Live at the Hollywood Bowl
"Night of the Shooting Stars (Notte di San Lorenzo, La) (1982)",Drama War,"Night of the Shooting Stars (Notte di San Lorenzo, La)"
Paradise (1982),Adventure Romance,Paradise
"Pirate Movie, The (1982)",Adventure Comedy Musical,"Pirate Movie, The"
Santa Claus Is a Stinker (Le Père Noël est une ordure) (1982),Comedy,Santa Claus Is a Stinker (Le Père Noël est une ordure)
Richard Pryor Live on the Sunset Strip (1982),Comedy Documentary,Richard Pryor Live on the Sunset Strip
Sunless (Sans Soleil) (1983),Documentary,Sunless (Sans Soleil)
Savannah Smiles (1982),Comedy,Savannah Smiles
"Secret Policeman's Other Ball, The (1982)",Comedy Documentary Musical,"Secret Policeman's Other Ball, The"
Tenebre (1982),Horror Mystery Thriller,Tenebre
They Call Me Bruce? (a.k.a. A Fistful of Chopsticks) (1982),Comedy,They Call Me Bruce? (a.k.a. A Fistful of Chopsticks)
Trail of the Pink Panther (1982),Comedy Crime,Trail of the Pink Panther
Venom (1982),Horror Thriller,Venom
White Dog (1982),Drama Horror Thriller,White Dog
Zapped! (1982),Comedy Sci-Fi,Zapped!
How to Lose a Guy in 10 Days (2003),Comedy Romance,How to Lose a Guy in 10 Days
Shanghai Knights (2003),Action Adventure Comedy,Shanghai Knights
Daredevil (2003),Action Crime,Daredevil
"Jungle Book 2, The (2003)",Animation Children,"Jungle Book 2, The"
All the Real Girls (2003),Drama Romance,All the Real Girls
Gerry (2002),Adventure Drama,Gerry
He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002),Romance Thriller,He Loves Me... He Loves Me Not (À la folie... pas du tout)
Dennis the Menace (1993),Comedy,Dennis the Menace
"Black Stallion Returns, The (1983)",Adventure Children,"Black Stallion Returns, The"
"Black Stallion, The (1979)",Adventure Children Drama,"Black Stallion, The"
"Patch of Blue, A (1965)",Drama Romance,"Patch of Blue, A"
"Red Badge of Courage, The (1951)",Drama War,"Red Badge of Courage, The"
"Thrill of It All, The (1963)",Comedy,"Thrill of It All, The"
Pillow Talk (1959),Comedy Musical Romance,Pillow Talk
"Man Who Fell to Earth, The (1976)",Drama Sci-Fi,"Man Who Fell to Earth, The"
Dark Blue (2003),Action Crime Drama Thriller,Dark Blue
Gods and Generals (2003),Action Drama War,Gods and Generals
"Life of David Gale, The (2003)",Crime Drama Thriller,"Life of David Gale, The"
Old School (2003),Comedy,Old School
Open Hearts (Elsker dig for evigt) (2002),Romance,Open Hearts (Elsker dig for evigt)
Poolhall Junkies (2002),Comedy Drama Thriller,Poolhall Junkies
Stone Reader (2002),Documentary,Stone Reader
Cradle 2 the Grave (2003),Action Crime Drama Thriller,Cradle 2 the Grave
Spider (2002),Drama Mystery,Spider
Lady Jane (1986),Drama Romance,Lady Jane
Late Marriage (Hatuna Meuheret) (2001),Comedy Drama Romance,Late Marriage (Hatuna Meuheret)
Life Stinks (1991),Comedy,Life Stinks
"Meteor Man, The (1993)",Comedy,"Meteor Man, The"
Volcano High (Whasango) (2001),Action Comedy,Volcano High (Whasango)
Bringing Down the House (2003),Comedy,Bringing Down the House
Tears of the Sun (2003),Action Drama Thriller,Tears of the Sun
Irreversible (Irréversible) (2002),Crime Drama Mystery Thriller,Irreversible (Irréversible)
Laurel Canyon (2002),Drama,Laurel Canyon
Nowhere in Africa (Nirgendwo in Afrika) (2001),Drama,Nowhere in Africa (Nirgendwo in Afrika)
"Safety of Objects, The (2001)",Drama,"Safety of Objects, The"
Bend It Like Beckham (2002),Comedy Drama Romance,Bend It Like Beckham
"Hunted, The (2003)",Action Drama Thriller,"Hunted, The"
Willard (2003),Drama Horror Thriller,Willard
Prozac Nation (2001),Drama,Prozac Nation
Spun (2001),Comedy Crime Drama,Spun
King of Kings (1961),Drama,King of Kings
"Talk of the Town, The (1942)",Comedy Romance Thriller,"Talk of the Town, The"
Born Free (1966),Adventure Children Drama,Born Free
Equus (1977),Drama Mystery,Equus
Europa Europa (Hitlerjunge Salomon) (1990),Drama War,Europa Europa (Hitlerjunge Salomon)
"Glenn Miller Story, The (1953)",Drama,"Glenn Miller Story, The"
Green Card (1990),Comedy Drama Romance,Green Card
Journey to the Center of the Earth (1959),Adventure Children Sci-Fi,Journey to the Center of the Earth
Pauline at the Beach (Pauline à la Plage) (1983),Comedy Drama Romance,Pauline at the Beach (Pauline à la Plage)
Ringu (Ring) (1998),Horror Mystery Thriller,Ringu (Ring)
Salaam Bombay! (1988),Drama,Salaam Bombay!
Sweet Charity (1969),Comedy Drama Musical Romance,Sweet Charity
Talent for the Game (1991),Drama,Talent for the Game
Boat Trip (2003),Comedy,Boat Trip
Dreamcatcher (2003),Drama Horror Sci-Fi Thriller,Dreamcatcher
Piglet's Big Movie (2003),Animation Children,Piglet's Big Movie
View from the Top (2003),Comedy Romance,View from the Top
"Awful Truth, The (1937)",Comedy Romance,"Awful Truth, The"
Basic (2003),Drama Thriller War,Basic
"Core, The (2003)",Action Drama Sci-Fi Thriller,"Core, The"
Head of State (2003),Comedy,Head of State
What a Girl Wants (2003),Comedy Drama Romance,What a Girl Wants
Assassination Tango (2002),Drama Thriller,Assassination Tango
Raising Victor Vargas (2002),Comedy Drama Romance,Raising Victor Vargas
Stevie (2002),Documentary,Stevie
Akira Kurosawa's Dreams (Dreams) (1990),Drama Fantasy,Akira Kurosawa's Dreams (Dreams)
Day for Night (La Nuit Américaine) (1973),Comedy Drama Romance,Day for Night (La Nuit Américaine)
In a Lonely Place (1950),Drama Film-Noir Mystery Romance,In a Lonely Place
"Good Thief, The (2002)",Crime Drama,"Good Thief, The"
"Man Apart, A (2003)",Action Crime Drama Thriller,"Man Apart, A"
Phone Booth (2002),Drama Thriller,Phone Booth
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Action Animation Sci-Fi Thriller,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira)
Levity (2003),Drama,Levity
"Man Without a Past, The (Mies vailla menneisyyttä) (2002)",Comedy Crime Drama,"Man Without a Past, The (Mies vailla menneisyyttä)"
Anger Management (2003),Comedy,Anger Management
Better Luck Tomorrow (2002),Crime Drama,Better Luck Tomorrow
Ghosts of the Abyss (2003),Documentary IMAX,Ghosts of the Abyss
House of 1000 Corpses (2003),Horror,House of 1000 Corpses
Lilya 4-Ever (Lilja 4-ever) (2002),Crime Drama,Lilya 4-Ever (Lilja 4-ever)
Bulletproof Monk (2003),Action Adventure Sci-Fi,Bulletproof Monk
Chasing Papi (a.k.a. Papi Chulo) (2003),Comedy,Chasing Papi (a.k.a. Papi Chulo)
"Mighty Wind, A (2003)",Comedy Musical,"Mighty Wind, A"
Holes (2003),Adventure Children Comedy Mystery,Holes
Malibu's Most Wanted (2003),Comedy Crime,Malibu's Most Wanted
"Winged Migration (Peuple migrateur, Le) (2001)",Documentary,"Winged Migration (Peuple migrateur, Le)"
Flickering Lights (Blinkende lygter) (2000),Action Comedy Crime,Flickering Lights (Blinkende lygter)
Straw Dogs (1971),Drama Thriller,Straw Dogs
Beginning of the End (1957),Sci-Fi,Beginning of the End
"Andromeda Strain, The (1971)",Mystery Sci-Fi,"Andromeda Strain, The"
Fahrenheit 451 (1966),Drama Sci-Fi,Fahrenheit 451
I Am Trying to Break Your Heart (2002),Documentary,I Am Trying to Break Your Heart
Legal Eagles (1986),Comedy Crime Romance,Legal Eagles
Memories of Me (1988),Comedy Drama,Memories of Me
Sibling Rivalry (1990),Comedy,Sibling Rivalry
Undercover Blues (1993),Comedy Crime,Undercover Blues
Wildcats (1986),Comedy,Wildcats
"Wiz, The (1978)",Adventure Children Comedy Fantasy Musical,"Wiz, The"
"My Father the Hero (Mon père, ce héros.) (1991)",Comedy Drama,"My Father the Hero (Mon père, ce héros.)"
Scenes from a Mall (1991),Comedy,Scenes from a Mall
Confidence (2003),Crime Thriller,Confidence
Identity (2003),Crime Horror Mystery Thriller,Identity
It Runs in the Family (2003),Comedy Drama,It Runs in the Family
"Decade Under the Influence, A (2003)",Documentary,"Decade Under the Influence, A"
Manic (2001),Drama,Manic
People I Know (2002),Crime Drama,People I Know
Spellbound (2002),Documentary,Spellbound
"Lizzie McGuire Movie, The (2003)",Children Comedy Romance,"Lizzie McGuire Movie, The"
X2: X-Men United (2003),Action Adventure Sci-Fi Thriller,X2: X-Men United
Blue Car (2002),Drama,Blue Car
"Dancer Upstairs, The (2002)",Crime Drama Thriller,"Dancer Upstairs, The"
Marooned in Iraq (Gomgashtei dar Aragh) (2002),Drama,Marooned in Iraq (Gomgashtei dar Aragh)
Owning Mahowny (2003),Crime Drama Thriller,Owning Mahowny
Daddy Day Care (2003),Children Comedy,Daddy Day Care
"Man on the Train (Homme du train, L') (2002)",Comedy Drama,"Man on the Train (Homme du train, L')"
"Shape of Things, The (2003)",Drama,"Shape of Things, The"
"Trip, The (2002)",Comedy Drama Romance,"Trip, The"
101 Reykjavik (101 Reykjavík) (2000),Comedy Drama Romance,101 Reykjavik (101 Reykjavík)
"Chorus Line, A (1985)",Comedy Drama Musical,"Chorus Line, A"
Beat Street (1984),Drama Musical,Beat Street
Breakin' 2: Electric Boogaloo (1984),Musical,Breakin' 2: Electric Boogaloo
Breakin' (1984),Drama Musical,Breakin'
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action Adventure Animation Children Fantasy Sci-Fi,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta)
High Society (1956),Comedy Musical Romance,High Society
Kiss Me Kate (1953),Comedy Musical Romance,Kiss Me Kate
"Matrix Reloaded, The (2003)",Action Adventure Sci-Fi Thriller IMAX,"Matrix Reloaded, The"
Down with Love (2003),Comedy Romance,Down with Love
Cinemania (2002),Documentary,Cinemania
"Spanish Apartment, The (L'auberge espagnole) (2002)",Comedy Drama Romance,"Spanish Apartment, The (L'auberge espagnole)"
Pokémon Heroes (2003),Animation Children,Pokémon Heroes
Bruce Almighty (2003),Comedy Drama Fantasy Romance,Bruce Almighty
"In-Laws, The (2003)",Comedy,"In-Laws, The"
Gigantic (A Tale of Two Johns) (2002),Documentary,Gigantic (A Tale of Two Johns)
Respiro (2002),Comedy Drama,Respiro
Finding Nemo (2003),Adventure Animation Children Comedy,Finding Nemo
"Italian Job, The (2003)",Action Crime,"Italian Job, The"
Wrong Turn (2003),Horror Thriller,Wrong Turn
Capturing the Friedmans (2003),Documentary,Capturing the Friedmans
Together (Han ni Zai Yiki) (2002),Drama,Together (Han ni Zai Yiki)
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",Action Crime Thriller,"2 Fast 2 Furious (Fast and the Furious 2, The)"
Whale Rider (2002),Drama,Whale Rider
Nevada Smith (1966),Western,Nevada Smith
Once a Thief (Zong heng si hai) (1991),Action Comedy Crime Thriller,Once a Thief (Zong heng si hai)
Silk Stockings (1957),Musical,Silk Stockings
"Crazies, The (a.k.a. Code Name: Trixie) (1973)",Action Drama Horror Sci-Fi Thriller,"Crazies, The (a.k.a. Code Name: Trixie)"
Murder on a Sunday Morning (Un coupable idéal) (2001),Documentary,Murder on a Sunday Morning (Un coupable idéal)
Siam Sunset (1999),Comedy,Siam Sunset
Treasure Island (1950),Adventure Children,Treasure Island
"Walk, Don't Run (1966)",Comedy Romance,"Walk, Don't Run"
Animals are Beautiful People (1974),Comedy Documentary,Animals are Beautiful People
Car Wash (1976),Comedy,Car Wash
Destry Rides Again (1939),Comedy Western,Destry Rides Again
Intervista (1987),Comedy Drama,Intervista
Live Wire (1992),Action,Live Wire
Shenandoah (1965),Drama War Western,Shenandoah
Oscar (1991),Comedy Crime Mystery Romance,Oscar
"6th Man, The (Sixth Man, The) (1997)",Comedy,"6th Man, The (Sixth Man, The)"
"Railway Children, The (1970)",Children Drama,"Railway Children, The"
Two Mules for Sister Sara (1970),Comedy War Western,Two Mules for Sister Sara
Winchester '73 (1950),Western,Winchester '73
"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",Documentary,"Man with the Movie Camera, The (Chelovek s kino-apparatom)"
"Objective, Burma! (1945)",War,"Objective, Burma!"
This Boy's Life (1993),Drama,This Boy's Life
Barton Fink (1991),Drama Thriller,Barton Fink
Belle époque (1992),Comedy Romance,Belle époque
"Flight of the Phoenix, The (1965)",Action Adventure Drama,"Flight of the Phoenix, The"
From the Terrace (1960),Drama,From the Terrace
"Long, Hot Summer, The (1958)",Drama,"Long, Hot Summer, The"
Man of Aran (1934),Documentary,Man of Aran
Music Box (1989),Drama,Music Box
"Trial, The (Procès, Le) (1962)",Drama,"Trial, The (Procès, Le)"
"Unforgiven, The (1960)",Drama Western,"Unforgiven, The"
Good Burger (1997),Children Comedy,Good Burger
Jubilee (1977),Drama,Jubilee
Mississippi Masala (1991),Drama Romance,Mississippi Masala
Shattered (1991),Mystery Thriller,Shattered
"Song of Bernadette, The (1943)",Drama,"Song of Bernadette, The"
Thoroughly Modern Millie (1967),Comedy Musical,Thoroughly Modern Millie
Dumb and Dumberer: When Harry Met Lloyd (2003),Comedy,Dumb and Dumberer: When Harry Met Lloyd
From Justin to Kelly (2003),Musical Romance,From Justin to Kelly
Hollywood Homicide (2003),Action Crime Drama,Hollywood Homicide
Alex and Emma (2003),Comedy Drama Romance,Alex and Emma
28 Days Later (2002),Action Horror Sci-Fi,28 Days Later
Charlie's Angels: Full Throttle (2003),Action Adventure Comedy Crime Thriller,Charlie's Angels: Full Throttle
Fulltime Killer (Chuen jik sat sau) (2001),Action Thriller,Fulltime Killer (Chuen jik sat sau)
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),Drama Romance,Ali: Fear Eats the Soul (Angst essen Seele auf)
"Bodies, Rest & Motion (1993)",Drama Romance,"Bodies, Rest & Motion"
Ring of Terror (1962),Horror,Ring of Terror
You Only Live Once (1937),Crime Film-Noir,You Only Live Once
Anastasia (1956),Drama,Anastasia
"Babe, The (1992)",Drama,"Babe, The"
Mr. Baseball (1992),Comedy Romance,Mr. Baseball
Scaramouche (1952),Adventure Romance,Scaramouche
Start the Revolution Without Me (1970),Comedy,Start the Revolution Without Me
"Tenant, The (Locataire, Le) (1976)",Drama Horror Mystery Thriller,"Tenant, The (Locataire, Le)"
"What's Up, Doc? (1972)",Comedy,"What's Up, Doc?"
Hulk (2003),Action Adventure Sci-Fi,Hulk
"Legally Blonde 2: Red, White & Blonde (2003)",Comedy,"Legally Blonde 2: Red, White & Blonde"
Sinbad: Legend of the Seven Seas (2003),Adventure Animation Children Fantasy,Sinbad: Legend of the Seven Seas
Terminator 3: Rise of the Machines (2003),Action Adventure Sci-Fi,Terminator 3: Rise of the Machines
Swimming Pool (2003),Drama Mystery Thriller,Swimming Pool
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action Adventure Comedy Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl
"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",Action Fantasy Sci-Fi,"League of Extraordinary Gentlemen, The (a.k.a. LXG)"
"Cuckoo, The (Kukushka) (2002)",Comedy Drama War,"Cuckoo, The (Kukushka)"
I Capture the Castle (2003),Drama Romance,I Capture the Castle
Northfork (2003),Drama Fantasy,Northfork
Bad Boys II (2003),Action Comedy Crime Thriller,Bad Boys II
How to Deal (2003),Comedy Drama Romance,How to Deal
Johnny English (2003),Action Comedy Thriller,Johnny English
"Anarchist Cookbook, The (2002)",Comedy Romance,"Anarchist Cookbook, The"
Dirty Pretty Things (2002),Crime Drama Thriller,Dirty Pretty Things
"Embalmer, The (Imbalsamatore, L') (2002)",Drama,"Embalmer, The (Imbalsamatore, L')"
Garage Days (2002),Comedy Musical,Garage Days
Born to Be Wild (1995),Adventure Children Comedy Drama,Born to Be Wild
Curly Sue (1991),Comedy Drama,Curly Sue
Little Giants (1994),Children Comedy,Little Giants
Loose Cannons (1990),Action Comedy,Loose Cannons
"Mouse That Roared, The (1959)",Comedy War,"Mouse That Roared, The"
Masked & Anonymous (2003),Comedy Drama,Masked & Anonymous
Lara Croft Tomb Raider: The Cradle of Life (2003),Action Adventure Comedy Romance Thriller,Lara Croft Tomb Raider: The Cradle of Life
Seabiscuit (2003),Drama,Seabiscuit
Spy Kids 3-D: Game Over (2003),Action Adventure Children,Spy Kids 3-D: Game Over
Buffalo Soldiers (2001),Comedy Crime Drama War,Buffalo Soldiers
Camp (2003),Comedy Musical,Camp
"Mondays in the Sun (Lunes al sol, Los) (2002)",Drama,"Mondays in the Sun (Lunes al sol, Los)"
Scorched (2003),Comedy Crime,Scorched
Avanti! (1972),Comedy Drama,Avanti!
Eve of Destruction (1991),Action Sci-Fi Thriller,Eve of Destruction
Kickboxer 2: The Road Back (1991),Action Drama,Kickboxer 2: The Road Back
"Kiss Me, Stupid (1964)",Comedy,"Kiss Me, Stupid"
"One, Two, Three (1961)",Comedy,"One, Two, Three"
"Private Life of Sherlock Holmes, The (1970)",Comedy Drama Mystery,"Private Life of Sherlock Holmes, The"
Remo Williams: The Adventure Begins (1985),Action Comedy Crime Thriller,Remo Williams: The Adventure Begins
"Blood of Heroes, The (Salute of the Jugger, The) (1989)",Action Sci-Fi,"Blood of Heroes, The (Salute of the Jugger, The)"
"What's Up, Tiger Lily? (1966)",Adventure Comedy Crime Thriller,"What's Up, Tiger Lily?"
American Wedding (American Pie 3) (2003),Comedy,American Wedding (American Pie 3)
Gigli (2003),Comedy Crime Romance,Gigli
And Now... Ladies and Gentlemen... (2002),Romance Thriller,And Now... Ladies and Gentlemen...
"Magdalene Sisters, The (2002)",Drama,"Magdalene Sisters, The"
"Secret Lives of Dentists, The (2002)",Drama,"Secret Lives of Dentists, The"
Freaky Friday (2003),Children Comedy Fantasy,Freaky Friday
S.W.A.T. (2003),Action Thriller,S.W.A.T.
"Divorce, Le (2003)",Comedy Drama Romance,"Divorce, Le"
"Princess Blade, The (Shura Yukihime) (2001)",Action Sci-Fi,"Princess Blade, The (Shura Yukihime)"
Step Into Liquid (2002),Documentary,Step Into Liquid
"Double Life, A (1947)",Crime Drama Film-Noir,"Double Life, A"
Hawks and Sparrows (Uccellacci e Uccellini) (1966),Comedy,Hawks and Sparrows (Uccellacci e Uccellini)
"Gospel According to St. Matthew, The (Vangelo secondo Matteo, Il) (1964)",Drama,"Gospel According to St. Matthew, The (Vangelo secondo Matteo, Il)"
Umberto D. (1952),Drama,Umberto D.
Brother's Keeper (1992),Documentary,Brother's Keeper
I Love You to Death (1990),Comedy Crime,I Love You to Death
Freddy vs. Jason (2003),Action Horror Thriller,Freddy vs. Jason
Grind (2003),Action Comedy,Grind
Open Range (2003),Western,Open Range
Shaolin Soccer (Siu lam juk kau) (2001),Action Comedy,Shaolin Soccer (Siu lam juk kau)
Uptown Girls (2003),Comedy,Uptown Girls
American Splendor (2003),Comedy Drama,American Splendor
Agent Cody Banks (2003),Action Adventure Children Fantasy,Agent Cody Banks
Camp Nowhere (1994),Adventure Children Comedy,Camp Nowhere
Hot Dog... The Movie (1984),Comedy,Hot Dog... The Movie
House of Wax (1953),Crime Horror Mystery Thriller,House of Wax
Man's Best Friend (1993),Horror Sci-Fi Thriller,Man's Best Friend
"Sure Thing, The (1985)",Comedy Romance,"Sure Thing, The"
Valley Girl (1983),Comedy Romance,Valley Girl
Wait Until Dark (1967),Drama Thriller,Wait Until Dark
Tokyo Story (Tôkyô monogatari) (1953),Drama,Tokyo Story (Tôkyô monogatari)
"Green Ray, The (Rayon vert, Le) (1986)",Drama Romance,"Green Ray, The (Rayon vert, Le)"
THX 1138 (1971),Action Adventure Drama Sci-Fi,THX 1138
Kind Hearts and Coronets (1949),Comedy Drama,Kind Hearts and Coronets
Atragon (Kaitei Gunkan) (1963),Adventure Sci-Fi,Atragon (Kaitei Gunkan)
Attack of the Puppet People (1958),Horror Sci-Fi,Attack of the Puppet People
10 (1979),Comedy Romance,10
Tremors (1990),Comedy Horror Sci-Fi,Tremors
"Red Shoes, The (1948)",Drama Fantasy Musical Romance,"Red Shoes, The"
"Pink Panther, The (1963)",Comedy Crime,"Pink Panther, The"
"Pink Panther Strikes Again, The (1976)",Comedy Crime,"Pink Panther Strikes Again, The"
Commando (1985),Action Adventure,Commando
Dracula (1979),Horror Romance,Dracula
"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)",Comedy Drama Fantasy,"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le)"
Waco: The Rules of Engagement (1997),Documentary,Waco: The Rules of Engagement
